clean_node,original_node,ontology_id,ontology_name,umls_id,label,match_score,semantic_type,source,uri,alternative_matches
determine if HPV is present,[Event: determine if HPV is present],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
determine if a shock is needed,[Event: determine if a shock is needed],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
determine if child is small for gestational age,[Event: determine if child is small for gestational age],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
determine if premature menopause,[Event: determine if premature menopause],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
detoxification,[Event: detoxification],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
develop chronic emphysema,[Event: develop chronic emphysema],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
develop cirrhosis of the liver,[Event: develop cirrhosis of the liver],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
develop the disease,[Event: develop the disease],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
developing analgesic nephropathy,[Event: developing analgesic nephropathy],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
developing disorders at younger and younger ages,[Event: developing disorders at younger and younger ages],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis and treatment,[Event: diagnosis and treatment],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis at an early stage,[Event: diagnosis at an early stage],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of bipolar disorder,[Event: diagnosis of bipolar disorder],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of celiac disease,[Event: diagnosis of celiac disease],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of genital herpes,[Event: diagnosis of genital herpes],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of hemochromatosis,[Event: diagnosis of hemochromatosis],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of hypopituitarism,[Event: diagnosis of hypopituitarism],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of lichen planus is confirmed,[Event: diagnosis of lichen planus is confirmed],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of lupus,[Event: diagnosis of lupus],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of misaligned eyes,[Event: diagnosis of misaligned eyes],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of preeclampsia,[Event: diagnosis of preeclampsia],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis of tapeworm,[Event: diagnosis of tapeworm],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnosis,[Event: diagnosis],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
diagnostic tests,[Event: diagnostic tests],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
different parts of the body,[Event: different parts of the body],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
difficulty falling asleep,[Event: difficulty falling asleep],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
difficulty sleeping,difficulty sleeping,C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
difficulty walking,[Event: difficulty walking],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
digestive system,digestive system,C0012240,MTH,C0012240,Gastrointestinal system,1.0,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0012240,"[{""ontology_id"": ""C1333803"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C1761550"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C5786945"", ""ontology"": ""NCI"", ""score"": 0.8}]"
digital rectal examination,[Event: digital rectal examination],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
direct exposure to the sun,[Event: direct exposure to the sun],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
direct liver examination,[Event: direct liver examination],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
discoloration and swelling in the skin are caused by blood seeping into the tissues,[Event: discoloration and swelling in the skin are caused by blood seeping into the tissues],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
disease goes undiagnosed,[Event: disease goes undiagnosed],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
disease occurs suddenly,[Event: disease occurs suddenly],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
disease progresses,[Event: disease progresses],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
disease progression,[Event: disease progression],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
disease,disease,C4745084,NCI,C4745084,Medical Condition,1.0,Disease or Syndrome,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C4745084,"[{""ontology_id"": ""C5963544"", ""ontology"": ""NCI"", ""score"": 0.8}, {""ontology_id"": ""C5963540"", ""ontology"": ""NCI"", ""score"": 0.8}, {""ontology_id"": ""C5963541"", ""ontology"": ""NCI"", ""score"": 0.8}]"
disintegration of kidney stone,[Event: disintegration of kidney stone],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
disorders at younger and younger ages,[Event: disorders at younger and younger ages],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
disturbance in development during this critical period,[Event: disturbance in development during this critical period],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctor about child's health,[Event: doctor about child's health],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctor may use skin tests or blood test,[Event: doctor may use skin tests or blood test],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctor recommends monitoring at home,[Event: doctor recommends monitoring at home],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctor will feel your child's abdomen,[Event: doctor will feel your child's abdomen],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctor's office visit,[Event: doctor's office visit],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctor's visit,[Event: doctor's visit],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctor,doctor,C2220264,MEDCIN,C2220264,occupation: medical professional,0.8,Patient or Healthcare Provider,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C2220264,"[{""ontology_id"": ""C3642791"", ""ontology"": ""MMSL"", ""score"": 0.8}, {""ontology_id"": ""C2091030"", ""ontology"": ""MEDCIN"", ""score"": 0.8}, {""ontology_id"": ""C5578836"", ""ontology"": ""MTHSPL"", ""score"": 0.8}]"
doctors diagnose blood vessel disorders,[Event: doctors diagnose blood vessel disorders],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctors usually recommend a heart transplant,[Event: doctors usually recommend a heart transplant],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
doctors,doctors,C3517446,CPT,C3517446,Medical team conference with nonphysician health care professionals. 30 minutes or more,0.6,Patient or Healthcare Provider,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C3517446,"[{""ontology_id"": ""C3517444"", ""ontology"": ""CPT"", ""score"": 0.6}, {""ontology_id"": ""C3702253"", ""ontology"": ""CPT"", ""score"": 0.6}, {""ontology_id"": ""C1964079"", ""ontology"": ""CPT"", ""score"": 0.6}]"
don't put anything cold on it,[Event: don't put anything cold on it],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
double vision,double vision,C0012569,MTH,C0012569,Diplopia,1.0,Disease or Syndrome,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0012569,"[{""ontology_id"": ""C0271190"", ""ontology"": ""MSH"", ""score"": 0.8}, {""ontology_id"": ""C0422985"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C0429553"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}]"
drain phlegm from lungs,[Event: drain phlegm from lungs],C5958835,NCI,C5958835,OMOP Concept Identifier,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C5958835,"[{""ontology_id"": ""C3879350"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C1275069"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}, {""ontology_id"": ""C0261513"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.6}]"
