:ID,name,labels,ontology_id,ontology_name,semantic_type,induced_concept,original_node,uri
carrying it to the coronary arteries and heart muscle,carrying it to the coronary arteries and heart muscle,Entity,C5958835,NCI,Medical Concept,medical concept,carrying it to the coronary arteries and heart muscle,
catheter through the urethra into the bladder,catheter through the urethra into the bladder,Entity,C5958835,NCI,Medical Concept,medical concept,catheter through the urethra into the bladder,
cause of hearing loss,cause of hearing loss,Entity,C5958835,NCI,Medical Concept,medical concept,cause of hearing loss,
cells that have spread from other parts of the body,cells that have spread from other parts of the body,Entity,C5958835,NCI,Medical Concept,medical concept,cells that have spread from other parts of the body,
cellulitis,cellulitis,Entity,C0556023,SNOMEDCT_US,Medical Concept,"skin infection, bacterial dermatitis, subcutaneous abscess, inflammatory response",cellulitis,
central retinal artery becomes blocked,central retinal artery becomes blocked,Entity,C5958835,NCI,Medical Concept,medical concept,central retinal artery becomes blocked,
cerebral palsy,cerebral palsy,Entity,C1535926,MTH,Disease or Syndrome,"neurodevelopmental disorder, movement impairment, muscle weakness condition, cognitive delay",cerebral palsy,
cerebral thrombosis,cerebral thrombosis,Entity,C4069032,LNC,Sign or Symptom,"blood clot in the brain, ischemic stroke, cerebral infarction, vascular occlusion",cerebral thrombosis,
cervical osteoarthritis,cervical osteoarthritis,Entity,C0847415,CHV,Disease or Syndrome,"joint degeneration, spinal disc wear, neck pain condition, musculoskeletal disorder",cervical osteoarthritis,
cesarean delivery,cesarean delivery,Entity,C5958835,NCI,Medical Concept,medical concept,cesarean delivery,
chafing,chafing,Entity,C0152030,SNOMEDCT_US,Medical Concept,"skin irritation, friction injury, dermatitis, abrasion",chafing,
change in a mole,change in a mole,Entity,C5958835,NCI,Medical Concept,medical concept,change in a mole,
changing work habits,changing work habits,Entity,C5958835,NCI,Medical Concept,medical concept,changing work habits,
characteristic rash,characteristic rash,Entity,C5958835,NCI,Medical Concept,medical concept,characteristic rash,
"chart FACIAL SKIN PROBLEMS, p. 250","chart FACIAL SKIN PROBLEMS, p. 250",Entity,C5958835,NCI,Medical Concept,medical concept,"chart FACIAL SKIN PROBLEMS, p. 250",
"chart FOOT PROBLEMS, p. 320","chart FOOT PROBLEMS, p. 320",Entity,C5958835,NCI,Medical Concept,medical concept,"chart FOOT PROBLEMS, p. 320",
"chart RAISED SPOTS AND LUMPS, p. 255","chart RAISED SPOTS AND LUMPS, p. 255",Entity,C5958835,NCI,Medical Concept,medical concept,"chart RAISED SPOTS AND LUMPS, p. 255",
RASH WITH FEVER,RASH WITH FEVER,Entity,C1719933,MTH,Disease or Syndrome,"skin condition, feverish state, infectious disease, rash",RASH WITH FEVER,
check for expulsion,check for expulsion,Entity,C5958835,NCI,Medical Concept,medical concept,check for expulsion,
check for hypothyroidism,check for hypothyroidism,Entity,C5958835,NCI,Medical Concept,medical concept,check for hypothyroidism,
check for swelling of the liver,check for swelling of the liver,Entity,C5958835,NCI,Medical Concept,medical concept,check for swelling of the liver,
check hormone levels,check hormone levels,Entity,C5958835,NCI,Medical Concept,medical concept,check hormone levels,
chemical peel,chemical peel,Entity,C5958835,NCI,Medical Concept,medical concept,chemical peel,
chemotherapy,chemotherapy,Entity,C5958835,NCI,Medical Concept,medical concept,chemotherapy,
chest X-ray,chest X-ray,Entity,C5958835,NCI,Medical Concept,medical concept,chest X-ray,
chewing,chewing,Entity,C5958835,NCI,Medical Concept,medical concept,chewing,
child around water,child around water,Entity,C5958835,NCI,Medical Concept,medical concept,child around water,
child crawling,child crawling,Entity,C5958835,NCI,Medical Concept,medical concept,child crawling,
child ingesting poisonous substance,child ingesting poisonous substance,Entity,C5958835,NCI,Medical Concept,medical concept,child ingesting poisonous substance,
child seems to be generally healthy,child seems to be generally healthy,Entity,C5958835,NCI,Medical Concept,medical concept,child seems to be generally healthy,
child wears life jacket,child wears life jacket,Entity,C5958835,NCI,Medical Concept,medical concept,child wears life jacket,
child's internet activity,child's internet activity,Entity,C5958835,NCI,Medical Concept,medical concept,child's internet activity,
child's visit,child's visit,Entity,C5958835,NCI,Medical Concept,medical concept,child's visit,
childbirth preparation classes,childbirth preparation classes,Entity,C5958835,NCI,Medical Concept,medical concept,childbirth preparation classes,
childbirth,childbirth,Entity,C5958835,NCI,Medical Concept,medical concept,childbirth,
choking,choking,Entity,C5958835,NCI,Medical Concept,medical concept,choking,
cholesterol test,cholesterol test,Entity,C5958835,NCI,Medical Concept,medical concept,cholesterol test,
"chart RASH WITH FEVER, p. 254","chart RASH WITH FEVER, p. 254",Entity,C5958835,NCI,Medical Concept,medical concept,"chart RASH WITH FEVER, p. 254",
cholesterol-con,cholesterol-con,Entity,C5958835,NCI,Medical Concept,medical concept,cholesterol-con,
cholesterol-lowering medication for life,cholesterol-lowering medication for life,Entity,C5958835,NCI,Medical Concept,medical concept,cholesterol-lowering medication for life,
cholesterol-lowering medication,cholesterol-lowering medication,Entity,C5958835,NCI,Medical Concept,medical concept,cholesterol-lowering medication,
chronic emphysema,chronic emphysema,Entity,C5958835,NCI,Medical Concept,medical concept,chronic emphysema,
chronic hepatitis C,chronic hepatitis C,Entity,C5958835,NCI,Medical Concept,medical concept,chronic hepatitis C,
chronic hepatitis,chronic hepatitis,Entity,C5958835,NCI,Medical Concept,medical concept,chronic hepatitis,
chronic kidney failure,chronic kidney failure,Entity,C5958835,NCI,Medical Concept,medical concept,chronic kidney failure,
chronic urethritis,chronic urethritis,Entity,C5958835,NCI,Medical Concept,medical concept,chronic urethritis,
circumcision,circumcision,Entity,C5958835,NCI,Medical Concept,medical concept,circumcision,
clap back and chest,clap back and chest,Entity,C5958835,NCI,Medical Concept,medical concept,clap back and chest,
clinical examination,clinical examination,Entity,C5958835,NCI,Medical Concept,medical concept,clinical examination,
clinical trial,clinical trial,Entity,C5958835,NCI,Medical Concept,medical concept,clinical trial,
closing incisions with fine absorbable stitches,closing incisions with fine absorbable stitches,Entity,C5958835,NCI,Medical Concept,medical concept,closing incisions with fine absorbable stitches,
closing the incision,closing the incision,Entity,C5958835,NCI,Medical Concept,medical concept,closing the incision,
clotting time of the blood is tested,clotting time of the blood is tested,Entity,C5958835,NCI,Medical Concept,medical concept,clotting time of the blood is tested,
colectomy,colectomy,Entity,C0543467,MTH,Therapeutic or Preventive Procedure,"surgical procedure, operation, bowel removal, intestinal resection",colectomy,
collisions with objects or vehicles,collisions with objects or vehicles,Entity,C0000924,MTH,Medical Concept,"accident, injury, trauma, motor vehicle crash",collisions with objects or vehicles,
colonoscopy on the following schedule,colonoscopy on the following schedule,Entity,C5958835,NCI,Medical Concept,medical concept,colonoscopy on the following schedule,
colostomy or ileostomy,colostomy or ileostomy,Entity,C5958835,NCI,Medical Concept,medical concept,colostomy or ileostomy,
colposcopy,colposcopy,Entity,C5958835,NCI,Medical Concept,medical concept,colposcopy,
coma and death,coma and death,Entity,C5958835,NCI,Medical Concept,medical concept,coma and death,
combining some treatments,combining some treatments,Entity,C5958835,NCI,Medical Concept,medical concept,combining some treatments,
complete physical,complete physical,Entity,C5958835,NCI,Medical Concept,medical concept,complete physical,
complexity of pancreas transplant surgery,complexity of pancreas transplant surgery,Entity,C5958835,NCI,Medical Concept,medical concept,complexity of pancreas transplant surgery,
complications,complications,Entity,C0879626,MTH,Disease or Syndrome,"adverse effects, side effects, treatment risks, disease consequences",complications,
congenital toxoplasmosis symptoms,congenital toxoplasmosis symptoms,Entity,C5958835,NCI,Medical Concept,medical concept,congenital toxoplasmosis symptoms,
[Event: congestiv,[Event: congestiv,Event,C5958835,NCI,Medical Concept,medical concept,[Event: congestiv,
congestive heart failure,congestive heart failure,Entity,C5958835,NCI,Medical Concept,medical concept,congestive heart failure,
connecting the Jawbone (mandible) to the Skull (temporal bone),connecting the Jawbone (mandible) to the Skull (temporal bone),Entity,C5958835,NCI,Medical Concept,medical concept,connecting the Jawbone (mandible) to the Skull (temporal bone),
consciousness,consciousness,Entity,C5958835,NCI,Medical Concept,medical concept,consciousness,
contact ophthalmologist,contact ophthalmologist,Entity,C5958835,NCI,Medical Concept,medical concept,contact ophthalmologist,
contamination with clostridium bacteria,contamination with clostridium bacteria,Entity,C5958835,NCI,Medical Concept,medical concept,contamination with clostridium bacteria,
continuously around the body,continuously around the body,Entity,C5958835,NCI,Medical Concept,medical concept,continuously around the body,
contractions,contractions,Entity,C5958835,NCI,Medical Concept,medical concept,contractions,
controlling heart rate and blood pressure and the body's response to stress,controlling heart rate and blood pressure and the body's response to stress,Entity,C5958835,NCI,Medical Concept,medical concept,controlling heart rate and blood pressure and the body's response to stress,
conventional surgery,conventional surgery,Entity,C5958835,NCI,Medical Concept,medical concept,conventional surgery,
conventional therapy,conventional therapy,Entity,C5958835,NCI,Medical Concept,medical concept,conventional therapy,
cooling down,cooling down,Entity,C5958835,NCI,Medical Concept,medical concept,cooling down,
coronary artery bypass surgery,coronary artery bypass surgery,Entity,C5958835,NCI,Medical Concept,medical concept,coronary artery bypass surgery,
corticosteroid medication,corticosteroid medication,Entity,C5958835,NCI,Medical Concept,medical concept,corticosteroid medication,
corticosteroid ointment,corticosteroid ointment,Entity,C5958835,NCI,Medical Concept,medical concept,corticosteroid ointment,
corticosteroids,corticosteroids,Entity,C5958835,NCI,Medical Concept,medical concept,corticosteroids,
coughing fails to clear your lungs or continues for more than an hour,coughing fails to clear your lungs or continues for more than an hour,Entity,C5958835,NCI,Medical Concept,medical concept,coughing fails to clear your lungs or continues for more than an hour,
coughing up large amounts of phlegm,coughing up large amounts of phlegm,Entity,C5958835,NCI,Medical Concept,medical concept,coughing up large amounts of phlegm,
count your heartbeats for 6 seconds,count your heartbeats for 6 seconds,Entity,C5958835,NCI,Medical Concept,medical concept,count your heartbeats for 6 seconds,
couple of prescriptions,couple of prescriptions,Entity,C5958835,NCI,Medical Concept,medical concept,couple of prescriptions,
cramping pain,cramping pain,Entity,C5958835,NCI,Medical Concept,medical concept,cramping pain,
cravings or lose their taste for particular foods,cravings or lose their taste for particular foods,Entity,C5958835,NCI,Medical Concept,medical concept,cravings or lose their taste for particular foods,
crawling,crawling,Entity,C5958835,NCI,Medical Concept,medical concept,crawling,
cutting down on sleep,cutting down on sleep,Entity,C5958835,NCI,Medical Concept,medical concept,cutting down on sleep,
cutting open the tissues around the fracture,cutting open the tissues around the fracture,Entity,C5958835,NCI,Medical Concept,medical concept,cutting open the tissues around the fracture,
cyanosis,cyanosis,Entity,C5958835,NCI,Medical Concept,medical concept,cyanosis,
daily exercise,daily exercise,Entity,C5958835,NCI,Medical Concept,medical concept,daily exercise,
damage to cells,damage to cells,Entity,C5958835,NCI,Medical Concept,medical concept,damage to cells,
damage to sperm,damage to sperm,Entity,C5958835,NCI,Medical Concept,medical concept,damage to sperm,
damage to the macula,damage to the macula,Entity,C5958835,NCI,Medical Concept,medical concept,damage to the macula,
damage to the muscles or nerves,damage to the muscles or nerves,Entity,C1699209,MTH,Medical Concept,"musculoskeletal injury, neurological damage, muscle weakness, nerve damage",damage to the muscles or nerves,
damage to the sphincter,damage to the sphincter,Entity,C5913789,NIC,Medical Concept,"urological condition, pelvic floor dysfunction, incontinence, bladder control issue",damage to the sphincter,
daylight exposure,daylight exposure,Entity,C5958835,NCI,Medical Concept,medical concept,daylight exposure,
death in the US,death in the US,Entity,C5958835,NCI,Medical Concept,medical concept,death in the US,
death occurs after a long illness,death occurs after a long illness,Entity,C5958835,NCI,Medical Concept,medical concept,death occurs after a long illness,
death occurs unexpectedly,death occurs unexpectedly,Entity,C5958835,NCI,Medical Concept,medical concept,death occurs unexpectedly,
death within minutes,death within minutes,Entity,C5958835,NCI,Medical Concept,medical concept,death within minutes,
death,death,Entity,C0026565,MTH,Disease or Syndrome,"mortality, fatality, terminal illness, end-of-life care",death,
decr,decr,Entity,C5958835,NCI,Medical Concept,medical concept,decr,
dehydration,dehydration,Entity,C5958835,NCI,Medical Concept,medical concept,dehydration,
delayed crawling,delayed crawling,Entity,C5958835,NCI,Medical Concept,medical concept,delayed crawling,
delivery of solution containing anticancer medications or an immune system stimulator,delivery of solution containing anticancer medications or an immune system stimulator,Entity,C5958835,NCI,Medical Concept,medical concept,delivery of solution containing anticancer medications or an immune system stimulator,
delusions of seeing the person,delusions of seeing the person,Entity,C5958835,NCI,Medical Concept,medical concept,delusions of seeing the person,
dementia,dementia,Entity,C5958835,NCI,Medical Concept,medical concept,dementia,
depression,depression,Entity,C5958835,NCI,Medical Concept,medical concept,depression,
dermatologist,dermatologist,Entity,C5958835,NCI,Medical Concept,medical concept,dermatologist,
description of symptoms,description of symptoms,Entity,C5958835,NCI,Medical Concept,medical concept,description of symptoms,
desensitization,desensitization,Entity,C5958835,NCI,Medical Concept,medical concept,desensitization,
determine if HPV is present,determine if HPV is present,Entity,C5958835,NCI,Medical Concept,medical concept,determine if HPV is present,
determine if a shock is needed,determine if a shock is needed,Entity,C5958835,NCI,Medical Concept,medical concept,determine if a shock is needed,
determine if child is small for gestational age,determine if child is small for gestational age,Entity,C5958835,NCI,Medical Concept,medical concept,determine if child is small for gestational age,
determine if premature menopause,determine if premature menopause,Entity,C5958835,NCI,Medical Concept,medical concept,determine if premature menopause,
detoxification,detoxification,Entity,C5958835,NCI,Medical Concept,medical concept,detoxification,
develop chronic emphysema,develop chronic emphysema,Entity,C5958835,NCI,Medical Concept,medical concept,develop chronic emphysema,
develop cirrhosis of the liver,develop cirrhosis of the liver,Entity,C5958835,NCI,Medical Concept,medical concept,develop cirrhosis of the liver,
develop the disease,develop the disease,Entity,C5958835,NCI,Medical Concept,medical concept,develop the disease,
developing analgesic nephropathy,developing analgesic nephropathy,Entity,C5958835,NCI,Medical Concept,medical concept,developing analgesic nephropathy,
developing disorders at younger and younger ages,developing disorders at younger and younger ages,Entity,C5958835,NCI,Medical Concept,medical concept,developing disorders at younger and younger ages,
diagnosis and treatment,diagnosis and treatment,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis and treatment,
diagnosis at an early stage,diagnosis at an early stage,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis at an early stage,
diagnosis of bipolar disorder,diagnosis of bipolar disorder,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of bipolar disorder,
diagnosis of celiac disease,diagnosis of celiac disease,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of celiac disease,
diagnosis of genital herpes,diagnosis of genital herpes,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of genital herpes,
diagnosis of hemochromatosis,diagnosis of hemochromatosis,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of hemochromatosis,
diagnosis of hypopituitarism,diagnosis of hypopituitarism,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of hypopituitarism,
diagnosis of lichen planus is confirmed,diagnosis of lichen planus is confirmed,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of lichen planus is confirmed,
diagnosis of lupus,diagnosis of lupus,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of lupus,
diagnosis of misaligned eyes,diagnosis of misaligned eyes,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of misaligned eyes,
diagnosis of preeclampsia,diagnosis of preeclampsia,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of preeclampsia,
diagnosis of tapeworm,diagnosis of tapeworm,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis of tapeworm,
diagnosis,diagnosis,Entity,C5958835,NCI,Medical Concept,medical concept,diagnosis,
diagnostic tests,diagnostic tests,Entity,C5958835,NCI,Medical Concept,medical concept,diagnostic tests,
different parts of the body,different parts of the body,Entity,C5958835,NCI,Medical Concept,medical concept,different parts of the body,
difficulty falling asleep,difficulty falling asleep,Entity,C5958835,NCI,Medical Concept,medical concept,difficulty falling asleep,
difficulty sleeping,difficulty sleeping,Entity,C5958835,NCI,Medical Concept,medical concept,difficulty sleeping,
difficulty walking,difficulty walking,Entity,C5958835,NCI,Medical Concept,medical concept,difficulty walking,
digestive system,digestive system,Entity,C0012240,MTH,Medical Concept,"gastrointestinal system, digestive tract, alimentary canal, gut",digestive system,
digital rectal examination,digital rectal examination,Entity,C5958835,NCI,Medical Concept,medical concept,digital rectal examination,
direct exposure to the sun,direct exposure to the sun,Entity,C5958835,NCI,Medical Concept,medical concept,direct exposure to the sun,
direct liver examination,direct liver examination,Entity,C5958835,NCI,Medical Concept,medical concept,direct liver examination,
discoloration and swelling in the skin are caused by blood seeping into the tissues,discoloration and swelling in the skin are caused by blood seeping into the tissues,Entity,C5958835,NCI,Medical Concept,medical concept,discoloration and swelling in the skin are caused by blood seeping into the tissues,
disease goes undiagnosed,disease goes undiagnosed,Entity,C5958835,NCI,Medical Concept,medical concept,disease goes undiagnosed,
disease occurs suddenly,disease occurs suddenly,Entity,C5958835,NCI,Medical Concept,medical concept,disease occurs suddenly,
disease progresses,disease progresses,Entity,C5958835,NCI,Medical Concept,medical concept,disease progresses,
disease progression,disease progression,Entity,C5958835,NCI,Medical Concept,medical concept,disease progression,
disease,disease,Entity,C4745084,NCI,Disease or Syndrome,"medical condition, illness, disorder, pathological state",disease,
disintegration of kidney stone,disintegration of kidney stone,Entity,C5958835,NCI,Medical Concept,medical concept,disintegration of kidney stone,
disorders at younger and younger ages,disorders at younger and younger ages,Entity,C5958835,NCI,Medical Concept,medical concept,disorders at younger and younger ages,
disturbance in development during this critical period,disturbance in development during this critical period,Entity,C5958835,NCI,Medical Concept,medical concept,disturbance in development during this critical period,
doctor about child's health,doctor about child's health,Entity,C5958835,NCI,Medical Concept,medical concept,doctor about child's health,
doctor may use skin tests or blood test,doctor may use skin tests or blood test,Entity,C5958835,NCI,Medical Concept,medical concept,doctor may use skin tests or blood test,
doctor recommends monitoring at home,doctor recommends monitoring at home,Entity,C5958835,NCI,Medical Concept,medical concept,doctor recommends monitoring at home,
doctor will feel your child's abdomen,doctor will feel your child's abdomen,Entity,C5958835,NCI,Medical Concept,medical concept,doctor will feel your child's abdomen,
doctor's office visit,doctor's office visit,Entity,C5958835,NCI,Medical Concept,medical concept,doctor's office visit,
doctor's visit,doctor's visit,Entity,C5958835,NCI,Medical Concept,medical concept,doctor's visit,
doctor,doctor,Entity,C2220264,MEDCIN,Patient or Healthcare Provider,"medical professional, healthcare provider, physician, clinician",doctor,
doctors diagnose blood vessel disorders,doctors diagnose blood vessel disorders,Entity,C5958835,NCI,Medical Concept,medical concept,doctors diagnose blood vessel disorders,
doctors usually recommend a heart transplant,doctors usually recommend a heart transplant,Entity,C5958835,NCI,Medical Concept,medical concept,doctors usually recommend a heart transplant,
doctors,doctors,Entity,C3517446,CPT,Patient or Healthcare Provider,"medical professionals, healthcare providers, physicians, clinicians",doctors,
don't put anything cold on it,don't put anything cold on it,Entity,C5958835,NCI,Medical Concept,medical concept,don't put anything cold on it,
double vision,double vision,Entity,C0012569,MTH,Disease or Syndrome,"diplopia, binocular vision impairment, visual disturbance, eye disorder",double vision,
drain phlegm from lungs,drain phlegm from lungs,Entity,C5958835,NCI,Medical Concept,medical concept,drain phlegm from lungs,
drink plenty of fluids,drink plenty of fluids,Entity,C5958835,NCI,Medical Concept,medical concept,drink plenty of fluids,
drowning,drowning,Entity,C5958835,NCI,Medical Concept,medical concept,drowning,
drowsiness,drowsiness,Entity,C5958835,NCI,Medical Concept,medical concept,drowsiness,
diminished energy,diminished energy,Entity,C0015672,MTH,Medical Concept,"fatigue, weakness, low energy, decreased vitality",diminished energy,
poor concentration,poor concentration,Entity,C5958835,NCI,Medical Concept,medical concept,poor concentration,
irritability,irritability,Entity,C5958835,NCI,Medical Concept,medical concept,irritability,
greater risk of accidents,greater risk of accidents,Entity,C5224526,MEDCIN,Medical Concept,"increased danger, elevated risk, heightened vulnerability",greater risk of accidents,
dry gangrene may develop,dry gangrene may develop,Entity,C5958835,NCI,Medical Concept,medical concept,dry gangrene may develop,
"dry, metallic taste","dry, metallic taste",Entity,C5958835,NCI,Medical Concept,medical concept,"dry, metallic taste",
during surgery,during surgery,Entity,C5958835,NCI,Medical Concept,medical concept,during surgery,
last few weeks of life,last few weeks of life,Entity,C2827922,NCI,Medical Concept,"terminal phase, end-of-life stage, dying process, final stages",last few weeks of life,
ear tickling sensation,ear tickling sensation,Entity,C5958835,NCI,Medical Concept,medical concept,ear tickling sensation,
early in pregnancy,early in pregnancy,Entity,C5958835,NCI,Medical Concept,medical concept,early in pregnancy,
early stage detection,early stage detection,Entity,C5958835,NCI,Medical Concept,medical concept,early stage detection,
infection stages,infection stages,Entity,C0745283,MTH,Disease or Syndrome,"infectious process, disease progression, pathological development, microbial growth",infection stages,
symptoms of pregnancy,symptoms of pregnancy,Entity,C0747927,CHV,Sign or Symptom,"pregnancy signs, gestational indicators, maternal symptoms, fetal presence",symptoms of pregnancy,
treatment initiation,treatment initiation,Entity,C0808232,MTH,Therapeutic or Preventive Procedure,"therapeutic intervention, medical treatment, health care management, clinical approach",treatment initiation,
eating,eating,Entity,C5958835,NCI,Medical Concept,medical concept,eating,
effectiveness of treatment,effectiveness of treatment,Entity,C5958835,NCI,Medical Concept,medical concept,effectiveness of treatment,
electrical signals,electrical signals,Entity,C5958835,NCI,Medical Concept,medical concept,electrical signals,
electroencephalogram,electroencephalogram,Entity,C5958835,NCI,Medical Concept,medical concept,electroencephalogram,
electromyography,electromyography,Entity,C5958835,NCI,Medical Concept,medical concept,electromyography,
elevated CA-125 levels,elevated CA-125 levels,Entity,C5958835,NCI,Medical Concept,medical concept,elevated CA-125 levels,
elevation and support of the scrotum,elevation and support of the scrotum,Entity,C5958835,NCI,Medical Concept,medical concept,elevation and support of the scrotum,
eliminate gluten-containing foods from diet,eliminate gluten-containing foods from diet,Entity,C5958835,NCI,Medical Concept,medical concept,eliminate gluten-containing foods from diet,
elsewhere in body,elsewhere in body,Entity,UNKNOWN:ELSEWHER,UNKNOWN,Medical Concept,"extracorporeal location, external site, distant area, separate region",elsewhere in body,
"drowsiness, diminished energy, poor concentration, irritability, and a greater risk of accidents","drowsiness, diminished energy, poor concentration, irritability, and a greater risk of accidents",Entity,C5958835,NCI,Medical Concept,medical concept,"drowsiness, diminished energy, poor concentration, irritability, and a greater risk of accidents",
during the last few weeks of his or her life,during the last few weeks of his or her life,Entity,C5958835,NCI,Medical Concept,medical concept,during the last few weeks of his or her life,
early stages of the infection,early stages of the infection,Entity,C5958835,NCI,Medical Concept,medical concept,early stages of the infection,
early symptoms of pregnancy,early symptoms of pregnancy,Entity,C5958835,NCI,Medical Concept,medical concept,early symptoms of pregnancy,
early treatment,early treatment,Entity,C5958835,NCI,Medical Concept,medical concept,early treatment,
elsewhere in the body,elsewhere in the body,Entity,C5958835,NCI,Medical Concept,medical concept,elsewhere in the body,
embryo donation procedure,embryo donation procedure,Entity,C5958835,NCI,Medical Concept,medical concept,embryo donation procedure,
embryo donation to another couple,embryo donation to another couple,Entity,C5958835,NCI,Medical Concept,medical concept,embryo donation to another couple,
emergency,emergency,Entity,C5958835,NCI,Medical Concept,medical concept,emergency,
end of the second stage,end of the second stage,Entity,C5958835,NCI,Medical Concept,medical concept,end of the second stage,
endometrial biopsy,endometrial biopsy,Entity,C0199171,MTH,Therapeutic or Preventive Procedure,"medical procedure, diagnostic test, tissue sampling, gynecologic examination",endometrial biopsy,
endometriosis,endometriosis,Entity,C4698886,LNC,Disease or Syndrome,"gynecologic condition, reproductive disorder, hormonal imbalance, pelvic pain",endometriosis,
endoscopic procedure,endoscopic procedure,Entity,C5958835,NCI,Medical Concept,medical concept,endoscopic procedure,
endoscopy,endoscopy,Entity,C5958835,NCI,Medical Concept,medical concept,endoscopy,
enlargement of both adrenal glands,enlargement of both adrenal glands,Entity,C4525841,NCI,Disease or Syndrome,"organ enlargement, endocrine condition, hormone regulation, metabolic disorder",enlargement of both adrenal glands,
entropion,entropion,Entity,C5958835,NCI,Medical Concept,medical concept,entropion,
epidural hemorrhage,epidural hemorrhage,Entity,C5958835,NCI,Medical Concept,medical concept,epidural hemorrhage,
epinephrine and norepinephrine,epinephrine and norepinephrine,Entity,C5958835,NCI,Medical Concept,medical concept,epinephrine and norepinephrine,
episiotomy,episiotomy,Entity,C0199171,MTH,Therapeutic or Preventive Procedure,"medical procedure, surgical incision, childbirth complication, vaginal tear",episiotomy,
episodes of severe shortness of breath,episodes of severe shortness of breath,Entity,C5958835,NCI,Medical Concept,medical concept,episodes of severe shortness of breath,
esophageal varices rupture,esophageal varices rupture,Entity,C5958835,NCI,Medical Concept,medical concept,esophageal varices rupture,
evaluate benefits and risks,evaluate benefits and risks,Entity,C5958835,NCI,Medical Concept,medical concept,evaluate benefits and risks,
evening or at night,evening or at night,Entity,C5958835,NCI,Medical Concept,medical concept,evening or at night,
examination for missing teeth,examination for missing teeth,Entity,C5958835,NCI,Medical Concept,medical concept,examination for missing teeth,
examination of ears,examination of ears,Entity,C5958835,NCI,Medical Concept,medical concept,examination of ears,
examination of internal organs,examination of internal organs,Entity,C5958835,NCI,Medical Concept,medical concept,examination of internal organs,
examination of the affected eye,examination of the affected eye,Entity,C5958835,NCI,Medical Concept,medical concept,examination of the affected eye,
examination with a lighted viewing instrument called an otoscope,examination with a lighted viewing instrument called an otoscope,Entity,C5958835,NCI,Medical Concept,medical concept,examination with a lighted viewing instrument called an otoscope,
examination,examination,Entity,C5958835,NCI,Medical Concept,medical concept,examination,
excess fluid through a needle,excess fluid through a needle,Entity,C5958835,NCI,Medical Concept,medical concept,excess fluid through a needle,
"excess skin, fat, and muscle","excess skin, fat, and muscle",Entity,C5958835,NCI,Medical Concept,medical concept,"excess skin, fat, and muscle",
excessive scratching,excessive scratching,Entity,C5958835,NCI,Medical Concept,medical concept,excessive scratching,
excessive smoking,excessive smoking,Entity,C5958835,NCI,Medical Concept,medical concept,excessive smoking,
exercise program,exercise program,Entity,C5958835,NCI,Medical Concept,medical concept,exercise program,
exercise session,exercise session,Entity,C5958835,NCI,Medical Concept,medical concept,exercise session,
exercise,exercise,Entity,C5958835,NCI,Medical Concept,medical concept,exercise,
exercises,exercises,Entity,C5958835,NCI,Medical Concept,medical concept,exercises,
exercising more,exercising more,Entity,C5958835,NCI,Medical Concept,medical concept,exercising more,
exercising strenuously and failing to consume enough calories,exercising strenuously and failing to consume enough calories,Entity,C5958835,NCI,Medical Concept,medical concept,exercising strenuously and failing to consume enough calories,
exercising without warming up,exercising without warming up,Entity,C5958835,NCI,Medical Concept,medical concept,exercising without warming up,
exercising,exercising,Entity,C5958835,NCI,Medical Concept,medical concept,exercising,
exertion,exertion,Entity,C5958835,NCI,Medical Concept,medical concept,exertion,
experiencing symptoms,experiencing symptoms,Entity,C5958835,NCI,Medical Concept,medical concept,experiencing symptoms,
expose your skin to sunlight,expose your skin to sunlight,Entity,C5958835,NCI,Medical Concept,medical concept,expose your skin to sunlight,
exposure to chemicals,exposure to chemicals,Entity,C5958835,NCI,Medical Concept,medical concept,exposure to chemicals,
exposure to spermicides,exposure to spermicides,Entity,C5958835,NCI,Medical Concept,medical concept,exposure to spermicides,
exposure to violence,exposure to violence,Entity,C5958835,NCI,Medical Concept,medical concept,exposure to violence,
extreme discomfort and eye inflammation,extreme discomfort and eye inflammation,Entity,C5958835,NCI,Medical Concept,medical concept,extreme discomfort and eye inflammation,
extreme pain while tissue is dying,extreme pain while tissue is dying,Entity,C5958835,NCI,Medical Concept,medical concept,extreme pain while tissue is dying,
extreme pain,extreme pain,Entity,C5958835,NCI,Medical Concept,medical concept,extreme pain,
eye examination,eye examination,Entity,C5958835,NCI,Medical Concept,medical concept,eye examination,
eye examinations,eye examinations,Entity,C5958835,NCI,Medical Concept,medical concept,eye examinations,
eye inflammation,eye inflammation,Entity,C5958835,NCI,Medical Concept,medical concept,eye inflammation,
faintness,faintness,Entity,C5958835,NCI,Medical Concept,medical concept,faintness,
fall,fall,Entity,C5958835,NCI,Medical Concept,medical concept,fall,
